диктор;уровень;предложение;ИК;величина  подъема;позиция  пика;скорость  подъема;F0старт;F0пик;F0конец;Тслог;Тпик
3;1;7;ИК3;0,00;0,93;0,00;2670,00;2670,00;2112,00;0,11;0,00
4;1;7;ИК3;0,00;4,39;0,00;1867,00;1867,00;1577,00;0,11;0,01
5;1;7;ИК3;1,60;93,18;19,54;1681,00;1844,00;1844,00;0,09;0,08
6;1;7;ИК3;4,20;99,17;35,03;2751,00;3507,00;3507,00;0,12;0,12
7;1;7;ИК3;3,91;89,22;21,49;2844,00;3565,00;3565,00;0,20;0,18
8;1;7;ИК3;0,54;21,95;20,04;1449,00;1495,00;1100,00;0,12;0,03
9;2;7;ИК3;0,00;0,00;0,00;2693,00;2693,00;2554,00;0,06;0,00
10;2;7;ИК3;1,88;88,09;9,07;1623,00;1809,00;1763,00;0,24;0,21
11;2;7;ИК3;2,53;30,56;76,64;2098,00;2428,00;2216,00;0,11;0,03
12;2;7;ИК3;0,17;9,30;14,28;3519,00;3554,00;2740,00;0,13;0,01
13;2;7;ИК3;1,31;25,35;72,84;2809,00;3030,00;2798,00;0,07;0,02
14;2;7;ИК3;0,00;0,00;0,00;3123,00;3123,00;2751,00;0,17;0,00
15;2;7;ИК3;0,19;11,11;26,48;3251,00;3286,00;2821,00;0,06;0,01
16;2;7;ИК3;-0,28;0,00;-27,82;2635,00;2593,00;0,12;2612,00;0,01
17;3;7;ИК3;2,18;98,72;28,28;2693,00;3054,00;3054,00;0,08;0,08
18;3;7;ИК3;1,92;100,00;21,36;2972,00;3321,00;3321,00;0,09;0,09
19;3;7;ИК3;0,20;5,38;28,29;3042,00;3077,00;2786,00;0,13;0,01
20;3;7;ИК3;0,27;25,41;8,60;3030,00;3077,00;2728,00;0,12;0,03
21;3;7;ИК3;0,00;100,00;0,00;2088,00;2088,00;1646,00;0,08;0,08
22;3;7;ИК3;1,09;43,52;23,25;2670,00;2844,00;2647,00;0,11;0,05
23;3;7;ИК3;5,49;87,77;45,00;1809,00;2484,00;2437,00;0,14;0,12
24;3;7;ИК3;13,40;97,10;66,68;1553,00;3368,00;3368,00;0,21;0,20
1;1;8;ИК3;1,86;50,00;29,07;1243,00;1384,00;1349,00;0,13;0,06
